Episode 10, Total Reward: -19.62
Episode 20, Total Reward: -21.02
Episode 30, Total Reward: -24.95
Episode 40, Total Reward: -17.82
Episode 50, Total Reward: -16.39
Episode 60, Total Reward: -22.24
Episode 70, Total Reward: -18.77
Episode 80, Total Reward: -19.29
Episode 90, Total Reward: -17.94
Episode 100, Total Reward: -18.06
Episode 110, Total Reward: -22.48
Episode 120, Total Reward: -19.98
Episode 130, Total Reward: -17.43
Episode 140, Total Reward: -18.58
Episode 150, Total Reward: -17.33
Episode 160, Total Reward: -19.65
Episode 170, Total Reward: -14.56
Episode 180, Total Reward: -18.35
Episode 190, Total Reward: -20.15
Episode 200, Total Reward: -21.00
Episode 210, Total Reward: -18.22
Episode 220, Total Reward: -18.73
Episode 230, Total Reward: -19.47
Episode 240, Total Reward: -19.34
Episode 250, Total Reward: -19.08
Episode 260, Total Reward: -17.99
Episode 270, Total Reward: -18.61
Episode 280, Total Reward: -18.24
Episode 290, Total Reward: -16.46
Episode 300, Total Reward: -24.46
Episode 310, Total Reward: -21.70
Episode 320, Total Reward: -18.37
Episode 330, Total Reward: -16.77
Episode 340, Total Reward: -20.24
Episode 350, Total Reward: -18.87
Episode 360, Total Reward: -18.99
Episode 370, Total Reward: -20.16
Episode 380, Total Reward: -18.39
Episode 390, Total Reward: -18.59
Episode 400, Total Reward: -19.22
Episode 410, Total Reward: -21.47
Episode 420, Total Reward: -20.78
Episode 430, Total Reward: -22.37
Episode 440, Total Reward: -16.06
Episode 450, Total Reward: -21.30
Episode 460, Total Reward: -19.22
Episode 470, Total Reward: -16.75
Episode 480, Total Reward: -19.35
Episode 490, Total Reward: -16.11
Episode 500, Total Reward: -24.25
Episode 510, Total Reward: -16.95
Episode 520, Total Reward: -18.89
Episode 530, Total Reward: -18.62
Episode 540, Total Reward: -15.27
Episode 550, Total Reward: -18.85
Episode 560, Total Reward: -17.44
Episode 570, Total Reward: -17.21
Episode 580, Total Reward: -22.08
Episode 590, Total Reward: -21.39
Episode 600, Total Reward: -15.83
Episode 610, Total Reward: -16.48
Episode 620, Total Reward: -15.87
Episode 630, Total Reward: -13.90
Episode 640, Total Reward: -17.19
Episode 650, Total Reward: -14.98
Episode 660, Total Reward: -15.53
Episode 670, Total Reward: -18.11
Episode 680, Total Reward: -13.88
Episode 690, Total Reward: -17.61
Episode 700, Total Reward: -17.58
Episode 710, Total Reward: -15.52
Episode 720, Total Reward: -18.14
Episode 730, Total Reward: -17.58
Episode 740, Total Reward: -17.74
Episode 750, Total Reward: -18.69
Episode 760, Total Reward: -16.05
Episode 770, Total Reward: -12.76
Episode 780, Total Reward: -10.03
Episode 790, Total Reward: -18.13
Episode 800, Total Reward: -20.32
Episode 810, Total Reward: -18.93
Episode 820, Total Reward: -15.87
Episode 830, Total Reward: -22.30
Episode 840, Total Reward: -16.11
Episode 850, Total Reward: -19.16
Episode 860, Total Reward: -15.56
Episode 870, Total Reward: -17.94
Episode 880, Total Reward: -24.86
Episode 890, Total Reward: -15.86
Episode 900, Total Reward: -20.76
Episode 910, Total Reward: -10.76
Episode 920, Total Reward: -13.65
Episode 930, Total Reward: -17.18
Episode 940, Total Reward: -17.01
Episode 950, Total Reward: -16.17
Episode 960, Total Reward: -15.76
Episode 970, Total Reward: -17.86
Episode 980, Total Reward: -16.20
Episode 990, Total Reward: -19.38
Episode 1000, Total Reward: -14.63
Episode 1010, Total Reward: -11.06
Episode 1020, Total Reward: -16.78
Episode 1030, Total Reward: -12.64
Episode 1040, Total Reward: -11.00
Episode 1050, Total Reward: -18.08
Episode 1060, Total Reward: -15.99
Episode 1070, Total Reward: -14.48
Episode 1080, Total Reward: -16.54
Episode 1090, Total Reward: -13.96
Episode 1100, Total Reward: -12.63
Episode 1110, Total Reward: -13.04
Episode 1120, Total Reward: -18.15
Episode 1130, Total Reward: -18.48
Episode 1140, Total Reward: -8.71
Episode 1150, Total Reward: -11.29
Episode 1160, Total Reward: -13.82
Episode 1170, Total Reward: -9.76
Episode 1180, Total Reward: -11.72
Episode 1190, Total Reward: -10.43
Episode 1200, Total Reward: -13.14
Episode 1210, Total Reward: -18.64
Episode 1220, Total Reward: -13.78
Episode 1230, Total Reward: -9.56
